,base_market,quote_market,hedge_ratio,half_life,spread_mean,spread_std
65,TRX-USD,LTC-USD,0.0007132022449450754,12.0,6.40605545951604e-05,0.002434447446325968
66,TRX-USD,1INCH-USD,0.12418103474096537,18.0,6.731007796918042e-05,0.002136237316726842
67,TRX-USD,AVAX-USD,0.003754486291929994,9.0,1.558491480157946e-05,0.001189671598667558
68,TRX-USD,ETH-USD,3.602329306102005e-05,8.0,2.160739720188761e-05,0.0012884334244287886
69,YFI-USD,ALGO-USD,39573.60008000799,12.0,5.287982924865711,168.77771570949503
70,YFI-USD,BTC-USD,0.3057004406008477,12.0,-0.7605651328119482,127.97709676863798
71,YFI-USD,1INCH-USD,16355.221431126876,18.0,6.591014809132373,229.06497387630085
72,COMP-USD,NEAR-USD,21.850170110882416,5.0,0.008219299864006246,0.5081030683453994
73,COMP-USD,ALGO-USD,198.14046342197915,22.0,0.03746890008742833,1.1563582254889866
74,COMP-USD,BTC-USD,0.0015308730488859498,7.0,-0.0002604875131476556,0.6283915052602255
75,COMP-USD,DOT-USD,6.901701517254153,14.0,0.01580200628247462,0.8566383221840737
76,COMP-USD,UNI-USD,7.143343842406756,9.0,0.0161609682449731,0.7042029399128968
77,COMP-USD,MATIC-USD,38.66558907012868,3.0,0.003338790893136664,0.3758584225269403
78,NEAR-USD,UMA-USD,0.9441246806077124,14.0,0.0009550950554784392,0.06989436299256206
79,NEAR-USD,UNI-USD,0.32690373620554797,10.0,0.00048458955484994616,0.03121635305112918
80,NEAR-USD,MATIC-USD,1.7693931750975909,5.0,-1.8205949667517123e-05,0.023700508205474587
81,ALGO-USD,ADA-USD,0.574766682074985,18.0,0.0001349358806072715,0.006650793034305603
82,ALGO-USD,BTC-USD,7.721433894083787e-06,20.0,-5.70458164026741e-05,0.005810600157656843
83,ALGO-USD,DOT-USD,0.03481180223072091,23.0,1.822520283506667e-05,0.006317091392507682
84,ALGO-USD,1INCH-USD,0.41319429477522174,14.0,8.092783139727563e-05,0.0060108716163248315
85,XMR-USD,UMA-USD,75.93997504217396,14.0,0.085760964795725,5.238982189992537
86,XMR-USD,LTC-USD,1.7316640549719817,10.0,0.09795657017022846,3.9568699915979817
87,SUSHI-USD,ADA-USD,2.86732130410643,16.0,0.0006162484513400839,0.03171537893156278
88,SUSHI-USD,AVAX-USD,0.06230412537887608,12.0,-0.00022009905909732536,0.023797889568137474
89,SUSHI-USD,ETH-USD,0.0005978186576190008,11.0,-0.000169215282960875,0.022972828269306203
90,UMA-USD,DOT-USD,0.3341639263579238,17.0,0.001803308665585453,0.07628968527515534
91,UMA-USD,SOL-USD,0.0992292407703825,15.0,0.0018098598438774087,0.07490768123985538
92,UMA-USD,LTC-USD,0.022778884278131253,14.0,0.0023603585379235064,0.08429578417002813
93,UMA-USD,UNI-USD,0.3458286426054943,17.0,0.0020306328783287627,0.07832580518157721
94,UMA-USD,MATIC-USD,1.8720495991525161,13.0,0.0012508228460254398,0.06814760428781391
95,UMA-USD,1INCH-USD,3.9650085016058076,21.0,0.0030886447757859036,0.09116028279112241
96,UMA-USD,AVAX-USD,0.11988500792598894,15.0,0.001315336133093781,0.06780561484144705
97,UMA-USD,ETH-USD,0.0011502040551621838,18.0,0.0016168155154617306,0.07280567836720112
98,BTC-USD,LTC-USD,307.2328509606726,17.0,25.875560622585482,905.5356445241172
99,BTC-USD,UNI-USD,4664.990060221963,20.0,17.916040617476018,668.1179318354631
100,BTC-USD,MATIC-USD,25252.147639810642,13.0,7.963288510274559,454.61904033769866
101,BTC-USD,1INCH-USD,53491.71814474064,21.0,28.7990813854343,807.7708566989015
102,BTC-USD,AVAX-USD,1617.113327013252,16.0,9.180553184324207,466.58591543627773
103,LTC-USD,UNI-USD,15.164401552753077,23.0,0.09090115178127103,4.16550450950886
104,LTC-USD,MATIC-USD,82.1000283594095,20.0,0.04380131852900343,3.4831046589427714
105,LTC-USD,AVAX-USD,5.258034141122987,19.0,0.0398110546644952,3.2861846164197153
106,LTC-USD,ETH-USD,0.05045199392388368,24.0,0.04362960771605715,3.2306211094821298
107,UNI-USD,MATIC-USD,5.411663195142937,9.0,-0.0005207293229394006,0.09148812910684177
108,AVAX-USD,ETH-USD,0.00959423656061755,8.0,0.0024986368580915985,0.22003268532975123
